答题序号,Q1_假设您参与一个相亲活动，下面的”一“为15位男嘉宾，请按好感度从高到低排序：,Q2_对于最喜欢的”一“，为何喜欢？,Q3_对于最讨厌的”一“，为何讨厌？,开始时间,提交时间,答题时长
20,第1位:G|第10位:D|第11位:A|第12位:C|第13位:N|第14位:E|第15位:O|第2位:K|第3位:H|第4位:B|第5位:M|第6位:I|第7位:L|第8位:J|第9位:F,感觉,因为不好看,2022-04-26 14:56:17,2022-04-26 14:57:23,01分06秒
21,第1位:H|第10位:J|第11位:O|第12位:N|第13位:G|第14位:I|第15位:E|第2位:F|第3位:M|第4位:B|第5位:A|第6位:C|第7位:L|第8位:K|第9位:D,粗细适中，比较流畅,太粗了，并且不太符合常见的一,2022-04-26 14:56:47,2022-04-26 15:07:13,10分26秒
22,第1位:A|第10位:D|第11位:K|第12位:J|第13位:O|第14位:N|第15位:G|第2位:H|第3位:I|第4位:C|第5位:L|第6位:B|第7位:F|第8位:M|第9位:E,顺眼,两端差距过大,2022-04-26 15:06:36,2022-04-26 15:09:00,02分24秒
23,第1位:A|第10位:F|第11位:J|第12位:E|第13位:K|第14位:D|第15位:N|第2位:L|第3位:B|第4位:H|第5位:C|第6位:O|第7位:I|第8位:G|第9位:M,粗细均匀，笔实，感觉俊逸,贼眉鼠眼,2022-04-26 15:16:28,2022-04-26 15:21:25,04分57秒
24,第1位:H|第10位:D|第11位:F|第12位:C|第13位:K|第14位:M|第15位:J|第2位:L|第3位:O|第4位:I|第5位:N|第6位:A|第7位:G|第8位:E|第9位:B,端正,粗狂,2022-04-26 15:23:17,2022-04-26 15:25:38,02分21秒
25,第1位:A|第10位:E|第11位:B|第12位:L|第13位:C|第14位:G|第15位:N|第2位:M|第3位:H|第4位:F|第5位:K|第6位:I|第7位:O|第8位:D|第9位:J,将字对应于人，最喜欢的“一”字能看到人的形象是，瘦而不柴，简单干练，不拖泥带水。,将字对应于人，最讨厌的“一”字给我的感觉是圆滑且不够大方，拖泥带水，不够干练。,2022-04-26 14:59:54,2022-04-26 15:30:46,30分52秒
26,第1位:A|第10位:N|第11位:J|第12位:O|第13位:M|第14位:D|第15位:E|第2位:G|第3位:C|第4位:B|第5位:I|第6位:H|第7位:F|第8位:L|第9位:K,直,乱,2022-04-26 15:30:56,2022-04-26 15:32:19,01分23秒
27,第1位:O|第10位:B|第11位:E|第12位:I|第13位:N|第14位:L|第15位:G|第2位:F|第3位:H|第4位:A|第5位:J|第6位:D|第7位:C|第8位:M|第9位:K,工整，稳重,字迹飘,2022-04-26 15:30:04,2022-04-26 15:32:30,02分26秒
28,第1位:H|第10位:O|第11位:B|第12位:G|第13位:L|第14位:I|第15位:N|第2位:M|第3位:A|第4位:J|第5位:D|第6位:C|第7位:F|第8位:E|第9位:K,俊朗,轻浮,2022-04-26 15:29:32,2022-04-26 15:33:01,03分29秒
29,第1位:L|第10位:F|第11位:E|第12位:K|第13位:J|第14位:D|第15位:I|第2位:N|第3位:O|第4位:G|第5位:B|第6位:H|第7位:A|第8位:C|第9位:M,漂亮，取向为女,不漂亮,2022-04-26 15:31:08,2022-04-26 15:34:15,03分07秒
30,第1位:C|第10位:O|第11位:N|第12位:I|第13位:D|第14位:E|第15位:J|第2位:L|第3位:F|第4位:B|第5位:A|第6位:K|第7位:H|第8位:M|第9位:G,颜色均匀、中间细两头粗有感觉,粗犷、斑驳,2022-04-26 15:30:10,2022-04-26 15:34:28,04分18秒
31,第1位:K|第10位:I|第11位:E|第12位:B|第13位:L|第14位:N|第15位:G|第2位:H|第3位:F|第4位:M|第5位:D|第6位:J|第7位:O|第8位:C|第9位:A,边缘更规整，用笔有力,笔墨末尾锋利，给人的感觉有些尖锐，用笔无力,2022-04-26 15:21:36,2022-04-26 15:35:22,13分46秒
32,第1位:A|第10位:L|第11位:K|第12位:I|第13位:M|第14位:D|第15位:E|第2位:N|第3位:B|第4位:O|第5位:G|第6位:F|第7位:J|第8位:H|第9位:C,外观十分标致，笔直，也很有力度。,头重脚轻的感觉，有点怪异。,2022-04-26 15:32:31,2022-04-26 15:37:04,04分33秒
33,第1位:B|第10位:K|第11位:F|第12位:N|第13位:E|第14位:J|第15位:D|第2位:C|第3位:L|第4位:A|第5位:I|第6位:H|第7位:M|第8位:G|第9位:O,有棱角但不锋利，有直有曲,看起来很笨重,2022-04-26 15:35:38,2022-04-26 15:40:44,05分06秒
34,第1位:H|第10位:B|第11位:C|第12位:E|第13位:G|第14位:O|第15位:N|第2位:M|第3位:A|第4位:F|第5位:K|第6位:D|第7位:J|第8位:L|第9位:I,流畅，力度均匀，线条优美,力度和笔触存在突变，前实后虚,2022-04-26 15:34:34,2022-04-26 15:41:12,06分38秒
35,第1位:M|第10位:C|第11位:E|第12位:A|第13位:G|第14位:I|第15位:N|第2位:F|第3位:D|第4位:J|第5位:K|第6位:O|第7位:H|第8位:B|第9位:L,硬朗有力,前后差距太大，不能从一而终,2022-04-26 15:33:13,2022-04-26 15:41:13,08分00秒
36,第1位:L|第10位:G|第11位:I|第12位:O|第13位:J|第14位:N|第15位:D|第2位:K|第3位:A|第4位:M|第5位:B|第6位:H|第7位:E|第8位:C|第9位:F,力透纸背，纤细有力,没有力度,2022-04-26 15:56:55,2022-04-26 15:59:38,02分43秒
37,第1位:A|第10位:G|第11位:M|第12位:L|第13位:D|第14位:N|第15位:E|第2位:C|第3位:B|第4位:H|第5位:J|第6位:I|第7位:K|第8位:F|第9位:O,比较规整,感觉有点过于粗犷了,2022-04-26 15:57:30,2022-04-26 16:00:53,03分23秒
38,第1位:F|第10位:L|第11位:I|第12位:C|第13位:N|第14位:B|第15位:G|第2位:K|第3位:M|第4位:H|第5位:O|第6位:D|第7位:J|第8位:E|第9位:A,笔画方正有力,笔画比较随意，而且该有的转着弯曲部分没有,2022-04-26 16:04:10,2022-04-26 16:07:52,03分42秒
39,第1位:E|第10位:L|第11位:C|第12位:A|第13位:I|第14位:G|第15位:K|第2位:M|第3位:O|第4位:D|第5位:H|第6位:B|第7位:N|第8位:F|第9位:J,比较锋利,没什么太大的特点,2022-04-26 16:15:04,2022-04-26 16:18:36,03分32秒
40,第1位:I|第10位:G|第11位:C|第12位:N|第13位:E|第14位:D|第15位:J|第2位:B|第3位:H|第4位:M|第5位:L|第6位:F|第7位:O|第8位:K|第9位:A,字迹工整，墨迹均匀，起笔和收笔都很有韵味，柔中带刚,太粗了，观赏性不强，墨迹不均匀,2022-04-26 16:24:37,2022-04-26 16:26:55,02分18秒
41,第1位:J|第10位:A|第11位:C|第12位:E|第13位:D|第14位:O|第15位:N|第2位:K|第3位:I|第4位:L|第5位:B|第6位:F|第7位:H|第8位:M|第9位:G,粗犷,轻浮,2022-04-26 16:56:30,2022-04-26 16:57:59,01分29秒
42,第1位:I|第10位:F|第11位:D|第12位:K|第13位:M|第14位:J|第15位:E|第2位:A|第3位:B|第4位:G|第5位:H|第6位:O|第7位:L|第8位:N|第9位:C,长得比较俊秀,看上去比较凶悍,2022-04-26 18:34:44,2022-04-26 18:38:15,03分31秒
43,第1位:I|第10位:K|第11位:D|第12位:F|第13位:M|第14位:J|第15位:E|第2位:A|第3位:B|第4位:G|第5位:L|第6位:O|第7位:N|第8位:C|第9位:H,长得比较俊秀,看上去比较凶悍,2022-04-26 18:54:44,2022-04-26 18:56:23,01分39秒
44,第1位:A|第10位:O|第11位:D|第12位:G|第13位:I|第14位:J|第15位:E|第2位:B|第3位:C|第4位:H|第5位:L|第6位:N|第7位:K|第8位:F|第9位:M,长相周正。起笔和顿笔的笔锋大小差不多，笔画粗细变化适中,起笔部分太宽了，整个笔画重心很偏,2022-04-26 21:36:48,2022-04-26 21:49:19,12分31秒
45,第1位:H|第10位:E|第11位:J|第12位:D|第13位:K|第14位:N|第15位:O|第2位:A|第3位:I|第4位:B|第5位:G|第6位:L|第7位:F|第8位:C|第9位:M,自然 舒服,看着有点难受 左侧分岔 右侧的也不圆润,2022-04-27 23:54:57,2022-04-27 23:57:51,02分54秒
46,第1位:F|第10位:H|第11位:G|第12位:K|第13位:B|第14位:I|第15位:N|第2位:O|第3位:J|第4位:M|第5位:D|第6位:C|第7位:L|第8位:E|第9位:A,着墨比较均匀并且笔画比较直，粗细合适，应该是一个正直有分寸的人,头重脚轻，虎头蛇尾，应该为人不太靠谱,2022-04-28 08:14:38,2022-04-28 08:19:53,05分15秒
47,第1位:C|第10位:E|第11位:J|第12位:M|第13位:D|第14位:I|第15位:N|第2位:L|第3位:B|第4位:O|第5位:H|第6位:K|第7位:F|第8位:A|第9位:G,端正，秀气,飘忽，花哨,2022-04-28 14:12:49,2022-04-28 14:17:21,04分32秒
48,第1位:A|第10位:D|第11位:G|第12位:L|第13位:J|第14位:C|第15位:E|第2位:F|第3位:O|第4位:I|第5位:M|第6位:H|第7位:K|第8位:N|第9位:B,端正清秀,左边太粗,2022-05-01 15:48:55,2022-05-01 16:01:28,12分33秒
49,第1位:E|第10位:D|第11位:O|第12位:K|第13位:N|第14位:B|第15位:G|第2位:I|第3位:M|第4位:J|第5位:A|第6位:L|第7位:H|第8位:C|第9位:F,看上去五官很端正,丑,2022-05-01 18:37:52,2022-05-01 18:41:22,03分30秒
50,第1位:A|第10位:M|第11位:F|第12位:K|第13位:N|第14位:J|第15位:D|第2位:B|第3位:I|第4位:C|第5位:O|第6位:L|第7位:H|第8位:G|第9位:E,干脆有力，笔触均匀,太杂,2022-05-04 08:27:18,2022-05-04 08:32:55,05分37秒
51,第1位:O|第10位:H|第11位:K|第12位:A|第13位:B|第14位:G|第15位:D|第2位:N|第3位:I|第4位:M|第5位:L|第6位:J|第7位:C|第8位:F|第9位:E,墨迹均匀，有力,墨迹模糊，感觉很粗很憨不太有美感,2022-05-04 13:42:28,2022-05-04 13:45:05,02分37秒
